id_lote,Cab_CIre_ugcm2,Cab_NDRE_ugcm2,Cab_est_ugcm2,N_foliar_rel,H2O_foliar_rel,Efic_fotosint_rel,Biomasa_rel,Estres_car_rel,Cab_cls,N_cls,H2O_cls,Efic_cls,Bio_cls,Estres_cls,PC1,PC2,PC3,PC4,PC5,n_px,NDRE_cv,WBI_cv,REIP_cv,hetero_score,REIP_range,re_slope_max,re_slope_wl_nm,uncertainty_score,subzone_critica_pct,score_mean,anomaly_score,anomaly_class,anomaly_flags
A22,45.634414935112,22.989434576034544,34.31192475557327,60.4,51.8,53.5,80.0,79.2,MEDIO,ALTO,BAJO,ALTO,MEDIO,MEDIO,-25.955715,6.106614,-2.7369757,-2.912637,-0.6201784,1326,10.61,3.69,0.38,4.89,6.47,0.006808891913699083,735.98,0.0010823034283627445,32.73,0.5264,2.8780325641609217,MUY_ATIPICO,"agua_baja, funcion_alta, heterogeneidad_alta"
A23,73.1191445827484,28.405077052116397,50.7621108174324,100.0,87.2,43.8,94.2,80.7,ALTO,ALTO,ALTO,ALTO,ALTO,MEDIO,-27.996359,-2.5321434,-5.107841,-0.7078151,0.78147465,2178,1.14,0.41,0.03,0.53,0.56,0.009239667136583987,735.98,0.0011344777788811675,0.0,0.9695,1.5266302951584811,ATIPICO,sin_alerta_mayor
A24,32.702256608009336,23.680579590797425,28.19141809940338,33.4,68.0,38.3,87.9,76.1,MEDIO,MEDIO,MEDIO,ALTO,ALTO,BAJO,14.95761,-2.2075899,-6.881251,-1.6840948,0.37111926,2339,2.66,0.7,0.03,1.13,0.54,0.012775666666666692,725.96,0.0016344668091430017,54.21,0.4659,0.5202586019155561,NORMAL,sin_alerta_mayor
A25,33.097103524208066,23.734534060955045,28.415818792581558,34.7,67.3,42.4,87.1,72.8,MEDIO,MEDIO,MEDIO,ALTO,MEDIO,BAJO,19.802483,-1.7678746,-8.509452,-1.9807906,1.1156933,1118,2.66,0.76,0.04,1.15,0.65,0.013121291417165688,725.96,0.001687730134775241,46.78,0.4705,0.6418858453901257,NORMAL,incertidumbre_alta
A26,31.50626137256623,23.60778015851974,27.557020765542987,30.9,70.2,33.8,92.2,75.9,BAJO,BAJO,MEDIO,MEDIO,ALTO,BAJO,19.427488,-6.02522,-8.266306,-0.21103059,0.37313345,2745,1.55,0.42,0.03,0.67,0.49,0.013777300399201622,725.96,0.0017228100313028938,65.32,0.4623,0.7827787510020848,NORMAL,incertidumbre_alta
A27,29.25908224582671,22.59357668161392,25.926329463720315,28.2,67.7,40.9,84.4,71.0,BAJO,BAJO,MEDIO,ALTO,MEDIO,BAJO,22.716463,-0.8669644,-8.049522,-0.108064465,0.048435107,641,2.48,0.5,0.03,1.01,0.57,0.013297445109780467,725.96,0.0017251882702112198,99.84,0.4002,0.8368151987264487,NORMAL,incertidumbre_alta
A28,34.361053228378296,24.62602479457855,29.493539011478425,33.8,72.6,31.1,100.0,81.6,MEDIO,MEDIO,MEDIO,MEDIO,ALTO,MEDIO,10.480648,-12.639664,-7.349687,-0.16700824,0.54276377,2384,1.34,0.46,0.03,0.61,0.41,0.013909207584830365,725.96,0.0016569044867840903,9.14,0.5247,0.9833271395540046,NORMAL,incertidumbre_alta
A29,33.67763774394989,23.972666168212893,28.825151956081392,34.5,68.1,35.3,88.6,77.6,MEDIO,MEDIO,MEDIO,MEDIO,ALTO,MEDIO,10.744125,-3.4455628,-5.8205514,-1.9295479,1.5398777,2207,4.1,1.33,0.08,1.84,1.43,0.012555027944111799,725.96,0.001594874626607634,36.7,0.4826,0.46522460798591075,NORMAL,sin_alerta_mayor
A30,35.5636121749878,24.523004519939423,30.043308347463608,38.2,71.6,26.3,88.5,82.4,MEDIO,MEDIO,MEDIO,BAJO,ALTO,MEDIO,9.168945,-6.8104258,-1.9395285,-0.9139468,1.0217472,3453,4.55,1.04,0.05,1.88,0.73,0.013001084830339345,725.96,0.0015916589472908527,15.67,0.5374,0.47680595074356574,NORMAL,sin_alerta_mayor
A31,61.41912031173705,26.66093618869781,44.04002825021743,83.6,82.9,31.4,82.2,83.4,ALTO,ALTO,ALTO,MEDIO,MEDIO,MEDIO,-21.807785,-1.5243356,1.3060892,1.8534889,-0.37247553,4085,1.4,2.5,0.04,1.31,0.81,0.009773827032041823,735.98,0.0011957539041759445,0.0,0.8447,1.0625727130866598,NORMAL,sin_alerta_mayor
